pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,825.2650702153059
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,836.8202040458358
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,847.5935226145174
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,848.9817144694795
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,840.1258703821303
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,830.2683323793207
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,826.466414369973
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,826.4241316343404
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,836.7049450096964
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,847.4332115384244
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,848.9366624295259
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,840.0808183421767
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,830.2232803393671
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,826.1914416421765
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,826.1491589065439
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,836.4299722819
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,845.9794613689618
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,847.4829122600632
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,838.6270681727141
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,828.7695301699044
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,825.3379038983475
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,825.2956211627148
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,835.5764345380709
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,845.9501524579003
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,847.6473458770976
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,838.7915017897482
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,828.9339637869385
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,824.2090565817138
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,824.1667738460816
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,837.0345555558359
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,847.4375823867268
